,index,YEAR,MONTH_NAME,EPISODE_ID,EVENT_ID,LOCATION,STATE,EVENT_TYPE,BEGIN_DATE_TIME,END_DATE_TIME,LATITUDE,LONGITUDE,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,MAGNITUDE,FLOOD_CAUSE,TOR_F_SCALE,Month_Num,Month_Day,geometry,index_right,city,state_id,state_name,lat,lng
47,21880,2024,January,188238,1158260,PEARL RIVER,LOUISIANA,Hail,08-JAN-24 17:52:00,08-JAN-24 17:52:00,30.38,-89.74,30.38,-89.74,30.38,-89.74,1.0,,,1,2024-01-08,POINT (-7775305.68128039 10513504.728367463),9700,Pearl River,LA,Louisiana,30.3688,-89.7495
48,21879,2024,January,188238,1158259,LACOMBE,LOUISIANA,Flash Flood,08-JAN-24 17:40:00,08-JAN-24 18:40:00,30.3714,-89.9769,30.38,-89.97,30.3714,-89.9769,,Heavy Rain,,1,2024-01-08,POINT (-7772845.702275252 10558015.72027225),5717,Lacombe,LA,Louisiana,30.3141,-89.931
49,21878,2024,January,188238,1158259,BONFOUCA,LOUISIANA,Flash Flood,08-JAN-24 17:40:00,08-JAN-24 18:40:00,30.3117,-89.8513,30.38,-89.97,30.3714,-89.9769,,Heavy Rain,,1,2024-01-08,POINT (-7788076.002658226 10535769.889095956),514,Slidell,LA,Louisiana,30.2887,-89.7828
50,21877,2024,January,188238,1158259,SLIDELL ARPT,LOUISIANA,Flash Flood,08-JAN-24 17:40:00,08-JAN-24 18:40:00,30.3261,-89.8459,30.38,-89.97,30.3714,-89.9769,,Heavy Rain,,1,2024-01-08,POINT (-7785061.43124756 10534454.592937982),514,Slidell,LA,Louisiana,30.2887,-89.7828
51,21876,2024,January,188238,1158259,ST TAMMANY,LOUISIANA,Flash Flood,08-JAN-24 17:40:00,08-JAN-24 18:40:00,30.38,-89.97,30.38,-89.97,30.3714,-89.9769,,Heavy Rain,,1,2024-01-08,POINT (-7771121.579876821 10556537.532395413),5717,Lacombe,LA,Louisiana,30.3141,-89.931
52,21875,2024,January,188238,1156452,LA PLACE,LOUISIANA,Flash Flood,08-JAN-24 17:40:00,08-JAN-24 18:40:00,30.0551,-90.4602,30.06,-90.46,30.0551,-90.4602,,Heavy Rain,,1,2024-01-08,POINT (-7831268.308153821 10656365.06757868),1623,Laplace,LA,Louisiana,30.0731,-90.4758
53,21874,2024,January,188238,1156452,LA PLACE,LOUISIANA,Flash Flood,08-JAN-24 17:40:00,08-JAN-24 18:40:00,30.0588,-90.4358,30.06,-90.46,30.0551,-90.4602,,Heavy Rain,,1,2024-01-08,POINT (-7831011.549700942 10651664.437577307),1623,Laplace,LA,Louisiana,30.0731,-90.4758
54,21873,2024,January,188238,1156452,LA PLACE,LOUISIANA,Flash Flood,08-JAN-24 17:40:00,08-JAN-24 18:40:00,30.0637,-90.436,30.06,-90.46,30.0551,-90.4602,,Heavy Rain,,1,2024-01-08,POINT (-7829943.9451959925 10651576.588680705),1623,Laplace,LA,Louisiana,30.0731,-90.4758
55,21872,2024,January,188238,1156452,LA PLACE,LOUISIANA,Flash Flood,08-JAN-24 17:40:00,08-JAN-24 18:40:00,30.06,-90.46,30.06,-90.46,30.0551,-90.4602,,Heavy Rain,,1,2024-01-08,POINT (-7830209.720750368 10656200.834199982),1623,Laplace,LA,Louisiana,30.0731,-90.4758
56,21871,2024,January,188238,1156451,MANDEVILLE,LOUISIANA,Hail,08-JAN-24 17:19:00,08-JAN-24 17:19:00,30.36,-90.05,30.36,-90.05,30.36,-90.05,1.0,,,1,2024-01-08,POINT (-7773900.677763055 10571940.159468336),372,Mandeville,LA,Louisiana,30.3751,-90.0904
57,21870,2024,January,188238,1156450,HIMALAYA,LOUISIANA,Tornado,08-JAN-24 15:42:00,08-JAN-24 15:43:00,29.8611,-90.9829,29.85,-90.99,29.8611,-90.9829,,,EF0,1,2024-01-08,POINT (-7860706.649704074 10760610.940369988),16674,Supreme,LA,Louisiana,29.8604,-90.9955
58,21869,2024,January,188238,1156450,HIMALAYA,LOUISIANA,Tornado,08-JAN-24 15:42:00,08-JAN-24 15:43:00,29.85,-90.99,29.85,-90.99,29.8611,-90.9829,,,EF0,1,2024-01-08,POINT (-7862933.578529453 10762288.842686068),16674,Supreme,LA,Louisiana,29.8604,-90.9955
59,21867,2024,January,188236,1156447,MID LAKE PONTCHARTRAIN,GULF OF MEXICO,Marine Thunderstorm Wind,08-JAN-24 17:03:00,08-JAN-24 17:03:00,30.15,-90.13,30.15,-90.13,30.15,-90.13,37.0,,,1,2024-01-08,POINT (-7817729.734310767 10591757.187063549),321,Metairie,LA,Louisiana,29.9977,-90.178
60,21866,2024,January,188236,1156446,MID LAKE PONTCHARTRAIN,GULF OF MEXICO,Marine Thunderstorm Wind,08-JAN-24 16:13:00,08-JAN-24 16:13:00,30.15,-90.13,30.15,-90.13,30.15,-90.13,50.0,,,1,2024-01-08,POINT (-7817729.734310767 10591757.187063549),321,Metairie,LA,Louisiana,29.9977,-90.178
61,21898,2024,January,188239,1158267,SAUCIER,MISSISSIPPI,Hail,08-JAN-24 18:36:00,08-JAN-24 18:36:00,30.63,-89.14,30.63,-89.14,30.63,-89.14,1.25,,,1,2024-01-08,POINT (-7730703.199886075 10397086.85167737),15165,Saucier,MS,Mississippi,30.6237,-89.1432
62,17990,2024,January,187660,1153456,KAHALA,HAWAII,Flash Flood,08-JAN-24 15:06:00,08-JAN-24 18:06:00,21.2698,-157.786,21.274,-157.7872,21.272,-157.7886,,Heavy Rain,,1,2024-01-08,POINT (-1521359.638787707 17517666.886997223),937,East Honolulu,HI,Hawaii,21.2975,-157.7211
63,17498,2024,January,188493,1158424,LAKE CHARLES,LOUISIANA,Flash Flood,08-JAN-24 13:11:00,08-JAN-24 14:11:00,30.2016,-93.1963,30.191,-93.1966,30.1902,-93.2295,,Heavy Rain,,1,2024-01-08,POINT (-7715615.388944285 11160062.452011082),294,Lake Charles,LA,Louisiana,30.201,-93.2111
64,17499,2024,January,188493,1158424,LAKE CHARLES LAKE,LOUISIANA,Flash Flood,08-JAN-24 13:11:00,08-JAN-24 14:11:00,30.2036,-93.231,30.191,-93.1966,30.1902,-93.2295,,Heavy Rain,,1,2024-01-08,POINT (-7713840.585105165 11166315.599540485),294,Lake Charles,LA,Louisiana,30.201,-93.2111
65,17501,2024,January,188493,1158425,BALDWIN,LOUISIANA,Flash Flood,08-JAN-24 15:10:00,08-JAN-24 16:10:00,29.8183,-91.5373,29.8183,-91.5373,29.7936,-91.4859,,Heavy Rain,,1,2024-01-08,POINT (-7854523.386685143 10866832.811793357),11255,Baldwin,LA,Louisiana,29.8389,-91.5522
66,17989,2024,January,187660,1153456,KAHALA,HAWAII,Flash Flood,08-JAN-24 15:06:00,08-JAN-24 18:06:00,21.2735,-157.7843,21.274,-157.7872,21.272,-157.7886,,Heavy Rain,,1,2024-01-08,POINT (-1521489.4952575336 17517216.664769642),937,East Honolulu,HI,Hawaii,21.2975,-157.7211
67,21885,2024,January,188238,1158261,ABITA SPGS,LOUISIANA,Flash Flood,08-JAN-24 18:00:00,08-JAN-24 19:00:00,30.4631,-90.032,30.38,-90.0199,30.4631,-90.032,,Heavy Rain,,1,2024-01-08,POINT (-7752043.67364472 10566282.216455251),9505,Abita Springs,LA,Louisiana,30.4761,-90.0293
68,17988,2024,January,187660,1153456,KAHALA,HAWAII,Flash Flood,08-JAN-24 15:06:00,08-JAN-24 18:06:00,21.274,-157.7872,21.274,-157.7872,21.272,-157.7886,,Heavy Rain,,1,2024-01-08,POINT (-1521168.5320407606 17517198.654885087),937,East Honolulu,HI,Hawaii,21.2975,-157.7211
69,19927,2024,January,188590,1159203,BELMONT,TEXAS,Hail,08-JAN-24 13:58:00,08-JAN-24 13:58:00,29.52,-97.68,29.52,-97.68,29.52,-97.68,2.25,,,1,2024-01-08,POINT (-7619943.342255568 12003628.056919422),6212,Luling,TX,Texas,29.6814,-97.6468
70,23495,2024,January,188605,1159377,CORPUS CHRISTI NAS,TEXAS,Thunderstorm Wind,08-JAN-24 17:44:00,08-JAN-24 17:44:00,27.7,-97.27,27.7,-97.27,27.7,-97.27,55.0,,,1,2024-01-08,POINT (-8019411.286929209 12071098.870084632),125,Corpus Christi,TX,Texas,27.7254,-97.3767
71,19928,2024,January,188590,1159204,MONTHALIA,TEXAS,Hail,08-JAN-24 14:00:00,08-JAN-24 14:00:00,29.5,-97.62,29.5,-97.62,29.5,-97.62,2.5,,,1,2024-01-08,POINT (-7627859.792843285 11994679.208224239),5259,Gonzales,TX,Texas,29.5126,-97.4472
72,19930,2024,January,188590,1159206,LULING,TEXAS,Hail,08-JAN-24 14:00:00,08-JAN-24 14:00:00,29.64,-97.58,29.64,-97.58,29.64,-97.58,0.88,,,1,2024-01-08,POINT (-7602601.44672592 11977296.471528465),6212,Luling,TX,Texas,29.6814,-97.6468
73,19931,2024,January,188590,1159207,GONZALES,TEXAS,Thunderstorm Wind,08-JAN-24 14:05:00,08-JAN-24 14:05:00,29.5014,-97.4528,29.5014,-97.4528,29.5014,-97.4528,61.0,,,1,2024-01-08,POINT (-7638456.826182567 11965382.628104484),5259,Gonzales,TX,Texas,29.5126,-97.4472
74,19932,2024,January,188590,1159208,GONZALES MUNI ARPT,TEXAS,Hail,08-JAN-24 14:05:00,08-JAN-24 14:05:00,29.57,-97.47,29.57,-97.47,29.57,-97.47,2.5,,,1,2024-01-08,POINT (-7623645.418611942 11963324.450400032),5259,Gonzales,TX,Texas,29.5126,-97.4472
75,19929,2024,January,188590,1159205,OAK FOREST,TEXAS,Hail,08-JAN-24 14:00:00,08-JAN-24 14:00:00,29.51,-97.55,29.51,-97.55,29.51,-97.55,3.0,,,1,2024-01-08,POINT (-7630435.468638415 11981725.056004174),5259,Gonzales,TX,Texas,29.5126,-97.4472
76,19934,2024,January,188590,1159210,GONZALES MUNI ARPT,TEXAS,Thunderstorm Wind,08-JAN-24 14:30:00,08-JAN-24 14:30:00,29.52,-97.46,29.52,-97.46,29.52,-97.46,61.0,,,1,2024-01-08,POINT (-7634274.172559963 11965267.49293615),5259,Gonzales,TX,Texas,29.5126,-97.4472
77,19935,2024,January,188590,1159211,YOAKUM,TEXAS,Thunderstorm Wind,08-JAN-24 15:06:00,08-JAN-24 15:06:00,29.3049,-97.1542,29.3049,-97.1542,29.3049,-97.1542,61.0,,,1,2024-01-08,POINT (-7697139.114588829 11927254.825710569),6010,Yoakum,TX,Texas,29.2934,-97.1468
